Survey_ID,Region,Country,Business Unit,Quarter,Employee_Level,Question_ID,Question_Category,Response_Value,Response_Date
S-3620,AMERICAS,USA,HR,Q1 2025,manager,Q-03,Conduct,1.0,2025-10-07
S-3419,emea,USA,Finance,Q1-2025,manager,Q-04,Data privacy,5.0,
S-1815,emea,INDIA,sales,Q4-2025,Director,Q-01,Conflict of Int.,,05-08-2025
S-2139,EMEA,INDIA,Sales,Q1-2025,Senior Staff,Q-2,Ethics,3.0,06-11-2025
S-1178,EmEa, ,finance,Q3-2025,Senior Staff,3,Compliance,,2025/07/05
S-1788,AMERICAS,USA,Operations,Q2-2025,Senior Staff,Q-04,Conflict of Int.,1.0,2025/08/21
S-2495,EMEA,France,Sales,Q1 2025,Director,q-5,Conduct,6.0,
S-3601,EMEA, ,Operations,Q1 2025, ,Q-2,Compliance,6.0,2025/04/23
S-2329,Americas,INDIA,Finance,Q2-2025,director,Q-05,Ethics,2.0,2025/10/18
S-2289,APAC,     ,sales,Q3-2025, ,Q-03,Compliance,2.0,2025/10/15
S-2077,emea,,hr,Q2-2025,manager,Q-03,Data privacy,4.0,
S-1193,AMERICAS,India,IT,q22025,director,q3,Ethics,4.0,2025/08/28
S-2030,Americas,     ,finance,q22025,,Q-05,Conflict of Int.,6.0,31-05-2025
S-1648,EmEa,USA,HR,Q4-2025,Manager,3,Ethics,,2025/11/24
S-3495,APAC,India,Sales,Q1 2025,,3,Ethics,5.0,2025-01-10
S-2487,apac,INDIA,Finance,Q1 2025,Senior Staff,Q-02,Conduct,4.0,2025-09-30
S-1526,EmEa, ,IT,Q2-2025,,q3,Data Privacy,2.0,2025/04/13
S-2277,emea,     ,Sales,Q3-2025,,q-2,Ethics,2.0,2025-06-23
S-3410,APAC,,Operations,Q1-2025,Senior Staff,q-5,Conduct,1.0,17-01-2025
S-1291,APAC,Germany,sales,Q1 2025,,Q-03,Conduct,5.0,05-05-2025
S-2668,APAC,United States,finance,q22025,director,q-1,Data Privacy,4.0,2025/01/28
S-3677,AMERICAS,USA,hr,q22025,staff,Q-02,ethics,2.0,2025-08-18
S-2729,EMEA,Germany,sales,Q1 2025,Senior Staff,q-2,Conflict of Int.,,2025-02-20
S-3672,Americas,United States,Operations,Q1 2025,director,q-2,Data Privacy,2.0,2025-01-31
S-2553,Americas,UK,HR,Q3-2025,Director,Q-2,Conduct,6.0,2025/10/12
S-3943,EmEa,India,Operations,Q2-2025,manager,Q-01,Data privacy,6.0,2025-06-10
S-1206,EmEa, ,s,Q1 2025,Staff,3,Ethics,,2025-11-01
S-3766,APAC,UK,finance,Q4-2025,manager,q3,Data privacy,1.0,2025/08/03
S-3391,ApAc,Germany,Operations,q22025,staff,Q-04,Compliance,4.0,27-11-2025
S-2873,ApAc,JN,finance,Q1-2025, ,q3,Data privacy,1.0,
S-1874,apac,India,Sales,Q1-2025,manager,q-1,Compliance,2.0,2025/10/06
S-2240,Americas,     ,s,Q2-2025,Senior Staff,Q-03,Compliance,1.0,2025-10-11
S-2116,apac,,Operations,q22025,staff,Q-04,Conduct,6.0,16-09-2025
S-2029,Americas,United States,hr,Q2-2025,Staff,Q-01,Compliance,,2025-05-15
S-2810,emea, ,Finance,Q1-2025,Senior Staff,q-5,ethics,5.0,
S-2513,EMEA,UK,IT,Q1-2025,Director,q-1,Conflict of Int.,,
S-2466,APAC,     ,Operations,q22025,Senior Staff,q-1,Conflict of Int.,5.0,2025/07/28
S-1634,APAC,,IT,Q1 2025,director,Q-01,ethics,6.0,2025/07/30
S-2017,apac,India,finance,Q3-2025,Staff,q-2,ethics,2.0,24-08-2025
S-2251,APAC,INDIA,Finance,q22025,manager,Q-2,Compliance,3.0,23-05-2025
S-3628,emea,     ,s,Q2-2025,Staff,Q-02,Compliance,2.0,2025-05-16
S-1445,emea,France,Sales,Q3-2025,,Q-02,Data Privacy,5.0,2025/01/23
S-2787,Americas, ,s,q22025,manager,q-1,Data Privacy,1.0,2025/06/19
S-2286,AMERICAS,IN,HR,Q4-2025,Director,q04,Data Privacy,3.0,2025/06/01
S-1522,APAC,UK,hr,q22025,Manager,q3,Data privacy,3.0,01-01-2025
S-2176,APAC,UK,F,Q4-2025,staff,q-2,Data Privacy,4.0,19-09-2025
S-1696,AMERICAS,Germany,s,q22025,staff,Q-02,Conflict of Int.,,2025-06-08
S-1816,EMEA,USA,Finance,Q1 2025, ,q3,Conflict of Int.,,
S-2698,APAC,IN,hr,Q3-2025,director,Q-04,ethics,6.0,24-02-2025
S-1897,EMEA,JN,s,Q3-2025,Staff,3,ethics,,10-03-2025
S-3735,ApAc,JN,sales,Q4-2025,,Q-2,Conflict of Int.,5.0,2025/03/23
S-2945,EmEa,Germany,Operations,q22025,Director,3,Data Privacy,6.0,2025-08-14
S-3923,apac,INDIA,HR,Q2-2025,staff,3,Ethics,2.0,2025/07/16
S-1626,APAC,United States,hr,Q3-2025,staff,3,Data Privacy,4.0,
S-2721,emea,JN,F,q22025,Staff,q3,Data Privacy,4.0,
S-2441,apac,JN,hr,Q3-2025,,q-5,Conduct,5.0,23-04-2025
S-1899,apac,UK,sales,Q1-2025,director,q-1,Conduct,6.0,26-03-2025
S-1523,Americas,UK,F,Q4-2025,Staff,Q-02,Conduct,4.0,2025-08-25
S-1206,apac,UK,Sales,Q1 2025, ,q-1,Compliance,,23-05-2025
S-2034,AMERICAS,Japan,Finance,q22025,,Q-01,Compliance,2.0,2025-01-21
S-2013,APAC,,Finance,Q4-2025,Manager,Q-04,ethics,4.0,2025-10-16
S-2905,apac,JN,Sales,Q1 2025,Senior Staff,Q-03,Compliance,1.0,2025/06/09
S-3775,emea,UK,Operations,Q1-2025,manager,Q-02,Conduct,,2025-11-04
S-3319,Americas,France,s,Q3-2025,staff,Q-02,Data privacy,6.0,04-08-2025
S-1433,emea,France,sales,q22025,Manager,Q-2,ethics,6.0,2025/05/19
S-3205,EmEa,Japan,hr,q22025,Director,q-1,Conflict of Int.,2.0,14-02-2025
S-2847,APAC,JN,sales,Q4-2025,director,q-1,Ethics,4.0,04-04-2025
S-1869,ApAc,JN,HR,Q2-2025,Director,q3,Conduct,3.0,2025-09-22
S-1351,APAC,IN,hr,Q3-2025,,Q-04,Conduct,4.0,09-09-2025
